N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한온시스템,"11,250",150,-1.32%,100,"60,052","533,800",17.43,"477,802",19.46,13.83,
60,CJ제일제당,"397,000","2,000",+0.51%,"5,000","59,765","15,054",22.54,"26,931",10.61,10.76,
61,한국조선해양,"84,200","1,800",+2.18%,"5,000","59,591","70,773",19.28,"137,476",-6.41,-8.95,
62,F&F,"770,000",0,0.00%,500,"58,993","7,661",13.88,0,16.93,N/A,
63,강원랜드,"27,550",100,+0.36%,500,"58,941","213,940",18.91,"530,112",-562.24,-0.33,
64,메리츠화재,"48,300",700,+1.47%,500,"58,262","120,625",11.64,"95,585",8.83,26.12,
65,맥쿼리인프라,"14,000",0,0.00%,0,"56,678","404,846",14.47,"833,317",N/A,N/A,
66,현대제철,"41,350","1,000",+2.48%,"5,000","55,180","133,446",20.69,"448,682",3.78,8.54,
67,메리츠금융지주,"40,800","1,000",+2.51%,500,"53,469","131,051",7.13,"256,007",6.93,22.33,
68,에스디바이오센서,"50,800","2,500",-4.69%,500,"52,462","103,271",12.42,"502,933",4.68,72.47,
69,KODEX 200,"36,100",0,0.00%,0,"52,074","144,250",7.46,"4,484,972",N/A,N/A,
70,미래에셋증권,"8,450",40,+0.48%,"5,000","51,994","615,316",13.98,"619,839",5.80,11.66,
71,DB손해보험,"71,900",800,+1.13%,500,"50,905","70,800",43.23,"57,007",5.85,13.38,
72,현대건설,"45,050",100,+0.22%,"5,000","50,166","111,356",23.30,"333,055",12.34,5.89,
73,코웨이,"66,700",700,+1.06%,500,"49,224","73,800",61.11,"164,655",10.57,27.41,
74,삼성중공업,"5,550",100,+1.83%,"1,000","48,840","880,000",14.35,"2,109,880",-2.70,-36.89,
75,삼성엔지니어링,"24,350",50,+0.21%,"5,000","47,726","196,000",40.61,"656,745",12.82,20.67,
76,금호석유,"153,000","1,000",+0.66%,"5,000","46,353","30,296",20.04,"91,130",2.61,47.76,
77,메리츠증권,"6,740",80,+1.20%,"1,000","44,470","659,791",12.95,"757,677",6.37,15.77,
78,일진머티리얼즈,"96,000","7,000",-6.80%,500,"44,266","46,111",11.78,"524,859",70.54,7.85,
79,HD현대,"55,500",700,+1.28%,"1,000","43,841","78,993",16.17,"124,857",-33.13,-1.99,
80,유한양행,"59,800","1,100",-1.81%,"1,000","43,792","73,231",18.07,"173,120",43.36,5.45,
81,한국금융지주,"76,600",700,+0.92%,"5,000","42,686","55,726",34.99,"79,663",2.67,27.12,
82,한국타이어앤테크놀로지,"34,100",400,+1.19%,500,"42,241","123,875",40.18,"214,551",7.07,7.69,
83,GS,"44,400","1,100",+2.54%,"5,000","41,254","92,915",19.19,"224,365",2.90,15.55,
84,쌍용C&E,"8,110",10,-0.12%,100,"40,863","503,860",3.29,"339,001",21.98,11.12,
85,한국항공우주,"41,350",400,-0.96%,"5,000","40,306","97,475",17.87,"791,516",63.03,5.19,
86,두산밥캣,"40,200",350,+0.88%,500,"40,300","100,249",25.06,"149,713",10.44,9.19,
